Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,modularity_class,componentnumber
zuckerberg,zuckerberg,,1371,32979,4,0.519822,0.556703,1529935.103398,0.010247,9609,217,0
facebookdataleaks,facebookdataleaks,,170,2732,4,0.478711,0.490835,30569.048999,0.109085,1567,217,0
facebook,facebook,,8635,103932,4,0.850711,0.913833,48794190.314068,0.000884,32927,217,0
censorship,censorship,,159,1435,4,0.477284,0.48945,53090.541063,0.092668,1164,217,0
palantir,palantir,,23,575,5,0.464259,0.475414,5734.34297,0.300395,76,217,0
cambridgeanalytica,cambridgeanalytica,,337,3953,4,0.485135,0.500768,139749.481994,0.044864,2540,217,0
lovinleeds,lovinleeds,,2,6,7,0.239769,0.241739,0,1,1,1,0
localpubs,localpubs,,5,12,6,0.31537,0.319582,20818,0.4,4,1,0
supportyourlocal,supportyourlocal,,2,6,7,0.239769,0.241739,0,1,1,1,0
markzuckerberg,markzuckerberg,,813,10347,4,0.502704,0.527911,634566.934895,0.018034,5938,217,0
facebookdatabreach,facebookdatabreach,,194,3711,4,0.478161,0.491227,49593.97921,0.095828,1794,217,0
facebookhearing,facebookhearing,,110,977,4,0.472926,0.484648,10302.518266,0.163609,963,217,0
followers,followers,,28,76,5,0.464569,0.475798,10125.305842,0.320106,121,217,0
google,google,,501,5485,4,0.493085,0.511446,235869.792079,0.032922,4107,217,0
aadhaar,aadhaar,,8,38,5,0.463969,0.474725,114.295533,0.607143,17,217,0
mercers,mercers,,29,234,4,0.463659,0.47513,17494.616062,0.270936,110,217,0
myspace,myspace,,68,451,4,0.471214,0.48211,7960.930271,0.175154,399,217,0
zuckerbergtestimony,zuckerbergtestimony,,159,1355,5,0.4745,0.487412,52481.355742,0.092881,1152,217,0
advertisers,advertisers,,14,56,5,0.461951,0.473389,118.780957,0.373626,34,217,0
theresistance,theresistance,,26,63,4,0.464943,0.475971,29455.292157,0.249231,81,142,0
bluewave2018,bluewave2018,,6,6,5,0.320585,0.3243,0,1,15,142,0
resist,resist,,19,67,4,0.464611,0.475523,12392.828922,0.339181,58,22,0
geeksresist,geeksresist,,6,6,5,0.320585,0.3243,0,1,15,142,0
impeachtrump,impeachtrump,,6,6,5,0.320585,0.3243,0,1,15,142,0
trumpcrimefamily,trumpcrimefamily,,6,6,5,0.320585,0.3243,0,1,15,142,0
trumprussia,trumprussia,,52,227,4,0.47049,0.480966,69501.921679,0.232941,297,217,0
this,this,,9,16,5,0.329598,0.334853,713.205628,0.611111,22,217,0
bradparscale,bradparscale,,6,7,5,0.460053,0.471644,10551.72849,0.466667,7,217,0
trump2020campaign,trump2020campaign,,2,2,6,0.315399,0.319454,0,1,1,217,0
india,india,,85,448,4,0.473442,0.484231,17728.869525,0.179552,641,217,0
diamondandsilk,diamondandsilk,,126,3096,4,0.471278,0.483927,69024.937465,0.081548,632,217,0
russia,russia,,208,2568,4,0.4807,0.493476,102656.0556,0.081011,1744,262,0
digitalmarketing,digitalmarketing,,142,1841,5,0.472047,0.485139,91682.357972,0.086105,862,262,0
cryptocurrency,cryptocurrency,,72,2876,4,0.470023,0.48131,75722.212916,0.150235,384,262,0
ban,ban,,15,1220,4,0.464445,0.475267,3947.118924,0.552381,58,262,0
ico,ico,,56,2814,4,0.467112,0.478628,126559.591664,0.166234,256,262,0
privacy,privacy,,527,4667,4,0.494209,0.513007,243943.790629,0.031374,4332,217,0
gizmodo,gizmodo,,1,80,5,0.459687,0.471196,0,0,0,217,0
wallstreet,wallstreet,,10,24,5,0.463082,0.474093,177.057525,0.488889,22,217,0
markets,markets,,22,507,4,0.466484,0.477044,476.298133,0.528139,122,340,0
gun,gun,,9,13,5,0.46097,0.472428,4159.121441,0.5,18,143,0
bp,bp,,9,12,5,0.460317,0.471948,9723.071652,0.416667,15,254,0
tesla,tesla,,19,197,5,0.460317,0.472268,20876.61275,0.269006,46,260,0
antitrust,antitrust,,19,20,5,0.462177,0.473685,13737.819509,0.298246,51,262,0
terrorist,terrorist,,9,10,5,0.461542,0.4729,2210.359335,0.472222,17,262,0
jews,jews,,12,25,5,0.463246,0.474277,7344.014396,0.409091,27,262,0
fakenews,fakenews,,117,882,4,0.47269,0.484664,53222.929652,0.088006,587,217,0
unitedstatesgovernment,unitedstatesgovernment,,4,4,5,0.322282,0.326101,0,1,6,262,0
afp,afp,,6,13,5,0.460399,0.4719,3.667684,0.666667,10,217,0
polls,polls,,19,119,4,0.466945,0.477292,1263.667959,0.473684,81,217,0
social_media,social_media,,22,104,5,0.466046,0.476743,568.504997,0.294372,68,217,0
socialselling,socialselling,,16,105,5,0.465275,0.47599,340.250278,0.466667,56,217,0
projectalamo,projectalamo,,7,12,5,0.460216,0.47174,7.932465,0.666667,10,217,0
jaredkushner,jaredkushner,,4,5,5,0.460012,0.471548,0,1,6,217,0
qalert,qalert,,13,213,5,0.333024,0.339439,19.07362,0.730769,57,217,0
q,q,,96,3189,4,0.471919,0.483495,21296.603988,0.183553,837,193,0
abo,abo,,1,11,5,0.459687,0.471196,0,0,0,217,0
blogging,blogging,,18,60,5,0.463494,0.474685,238.856182,0.418301,64,217,0
socialmedia,socialmedia,,772,5865,4,0.504531,0.527759,660150.754146,0.021146,6277,217,0
twitter,twitter,,896,7177,4,0.508374,0.534227,708171.634355,0.016045,6419,217,0
frontlinepbs,frontlinepbs,,1,1,5,0.459687,0.471196,0,0,0,217,0
soros,soros,,17,322,5,0.460908,0.472668,6910.368853,0.360294,49,22,0
antifa,antifa,,22,289,5,0.463432,0.474749,9267.847612,0.268398,62,22,0
christian,christian,,18,347,4,0.465546,0.476187,356.570836,0.313725,48,22,0
prolife,prolife,,11,264,5,0.463804,0.474693,50.431339,0.509091,28,22,0
datascandal,datascandal,,13,38,5,0.465879,0.476318,147.990713,0.538462,42,217,0
worldnews,worldnews,,7,25,4,0.464176,0.474826,1.254901,0.857143,18,217,0
siliconevalley,siliconevalley,,4,202,5,0.462362,0.473349,25.454769,0.833333,5,217,0
chatbot,chatbot,,32,189,5,0.462526,0.474381,2119.26756,0.229839,114,217,0
convenience,convenience,,7,52,5,0.459911,0.471564,4978.805372,0.52381,11,217,0
smartdatanetwork,smartdatanetwork,,3,48,5,0.459789,0.47134,0,1,3,217,0
famous,famous,,15,473,5,0.461972,0.473437,9410.05272,0.371429,39,131,0
fuel,fuel,,7,461,5,0.328526,0.333327,0,1,21,131,0
video,video,,176,981,4,0.479019,0.491147,118225.684719,0.071133,1083,131,0
marketing,marketing,,268,2240,5,0.48208,0.496361,106185.416986,0.058855,2090,131,0
branding,branding,,34,528,5,0.465775,0.476951,14992.597233,0.342246,192,131,0
strategies,strategies,,12,470,5,0.460745,0.47238,8957.862322,0.484848,32,131,0
highdefinition,highdefinition,,7,121,5,0.328526,0.333327,0,1,21,131,0
visualmarketing,visualmarketing,,7,7,5,0.328526,0.333327,0,1,21,131,0
maga,maga,,301,6314,4,0.482795,0.497903,272085.437712,0.05942,2665,217,0
communities,communities,,6,1432,5,0.460684,0.472132,1564.857827,0.666667,10,262,0
crypto,crypto,,62,2117,4,0.468647,0.479901,47246.189449,0.172131,315,262,0
dataleak,dataleak,,57,172,5,0.469535,0.480497,2179.724993,0.237469,379,217,0
instagram,instagram,,706,4583,4,0.500048,0.522724,465232.64096,0.020044,4974,217,0
deepstate,deepstate,,97,1169,4,0.473507,0.484616,27833.134327,0.169518,773,217,0
greatawakening,greatawakening,,127,3825,4,0.47383,0.485912,30800.209378,0.141732,1134,217,0
qanon,qanon,,318,10887,4,0.483423,0.498887,197870.009845,0.056363,2823,217,0
advertising,advertising,,103,402,4,0.472776,0.484359,11228.988936,0.143537,754,217,0
zuckhearing,zuckhearing,,28,297,5,0.467196,0.477791,549.593806,0.433862,164,217,0
markzukerberg,markzukerberg,,69,375,4,0.471577,0.482414,3329.194461,0.219949,516,217,0
facebooklive,facebooklive,,109,985,4,0.47463,0.48592,26048.043178,0.135746,799,262,0
music,music,,195,1118,4,0.478513,0.491475,153307.754038,0.070473,1333,1,0
face,face,,27,35,5,0.461726,0.473613,307.759958,0.242165,85,142,0
book,book,,54,128,4,0.470681,0.481222,3407.717324,0.183788,263,142,0
reliable,reliable,,14,39,5,0.461378,0.472924,32.032812,0.769231,70,142,0
informant,informant,,10,11,5,0.463473,0.474389,40.660417,0.666667,30,142,0
power,power,,35,168,5,0.464134,0.475726,1860.721699,0.268908,160,131,0
money,money,,107,264,4,0.475953,0.486745,25705.294525,0.123989,690,217,0
film,film,,34,49,5,0.463866,0.475462,35770.633176,0.213904,120,260,0
zuckerberghearing,zuckerberghearing,,169,2100,4,0.477,0.489546,25015.623576,0.108711,1525,217,0
apple,apple,,143,861,4,0.47604,0.487961,52109.062139,0.09979,999,217,0
microsoft,microsoft,,60,266,5,0.47049,0.481209,3559.541051,0.233197,399,217,0
amazon,amazon,,184,2014,4,0.479991,0.492124,88919.064506,0.077704,1294,143,0
mobile,mobile,,48,224,4,0.466819,0.47818,26954.398317,0.249113,281,217,0
youtube,youtube,,384,1973,4,0.489216,0.505099,215743.134428,0.039328,2892,217,0
socialtools,socialtools,,3,3,5,0.459728,0.471292,0,1,3,0,0
themedialabme,themedialabme,,3,3,5,0.459728,0.471292,0,1,3,0,0
digitaldubai,digitaldubai,,3,3,5,0.459728,0.471292,0,1,3,0,0
justcurious,justcurious,,2,2,5,0.460684,0.472012,0,1,1,217,0
smh,smh,,9,18,5,0.463556,0.474437,115.244787,0.5,18,217,0
auspol,auspol,,24,41,5,0.465421,0.476342,10984.85598,0.32971,91,217,0
netflix,netflix,,39,204,5,0.467532,0.478343,24248.872491,0.263158,185,143,0
playstore,playstore,,7,7,5,0.46189,0.473101,0,1,21,217,0
ios,ios,,15,36,5,0.462382,0.473741,14113.199576,0.371429,39,325,0
applestore,applestore,,7,7,5,0.46189,0.473101,0,1,21,217,0
mueller,mueller,,68,323,4,0.470511,0.481542,63553.062367,0.17252,393,217,0
president,president,,29,53,4,0.465088,0.476195,12594.811683,0.253695,103,339,0
sovietunion,sovietunion,,3,3,5,0.460623,0.471996,0,1,3,339,0
security,security,,113,460,4,0.47424,0.48576,28516.062603,0.143489,908,217,0
news,news,,339,2467,4,0.489515,0.50385,138531.85931,0.057967,3321,217,0
share,share,,97,424,4,0.472969,0.484263,44704.14949,0.111254,518,1,0
humanrights,humanrights,,24,126,4,0.465796,0.476603,9116.782467,0.362319,100,217,0
digital,digital,,96,477,4,0.471962,0.483527,24854.67399,0.150219,685,217,0
seo,seo,,90,909,5,0.468605,0.480897,44128.714799,0.142072,569,217,0
smm,smm,,100,1335,4,0.472862,0.484335,19456.43474,0.15899,787,217,0
cheatersneverprosper,cheatersneverprosper,,1,1,5,0.459687,0.471196,0,0,0,217,0
events,events,,22,86,5,0.46401,0.475198,5847.221549,0.290043,67,260,0
chennai,chennai,,11,71,5,0.46046,0.472124,3851.370681,0.527273,29,260,0
indian,indian,,9,69,5,0.459951,0.47166,3695.006041,0.611111,22,260,0
banglore,banglore,,6,66,6,0.317874,0.321986,0,1,15,260,0
modeling,modeling,,15,85,5,0.460256,0.472092,5900.062684,0.361905,38,260,0
ifashionpulse,ifashionpulse,,6,66,6,0.317874,0.321986,0,1,15,260,0
want,want,,25,85,5,0.461031,0.473021,5126.000567,0.38,114,260,0
whatsapp,whatsapp,,92,424,4,0.473378,0.484456,43025.068283,0.142618,597,217,0
askzuck,askzuck,,21,126,5,0.46459,0.475582,3341.800934,0.261905,55,262,0
leads,leads,,38,166,5,0.464176,0.475838,843.2961,0.234708,165,217,0
freespeech,freespeech,,81,466,4,0.471427,0.482623,50774.862986,0.134568,436,41,0
thebrief,thebrief,,3,6,5,0.460256,0.471708,0,1,3,217,0
data,data,,459,3451,4,0.48917,0.507412,187882.553445,0.035804,3747,217,0
democrat,democrat,,24,59,5,0.467721,0.478047,4591.792906,0.427536,118,217,0
2a,2a,,31,125,4,0.467637,0.478196,19464.897576,0.316129,147,217,0
2ashallnotbeinfringed,2ashallnotbeinfringed,,4,8,5,0.320546,0.324208,0,1,6,217,0
ar15,ar15,,4,8,5,0.320546,0.324208,0,1,6,217,0
kag,kag,,23,166,4,0.466025,0.476707,11515.396636,0.450593,114,217,0
gop,gop,,44,136,4,0.468858,0.479509,16760.303488,0.218816,207,217,0
books,books,,38,125,5,0.461747,0.473981,15016.707691,0.173542,122,320,0
job,job,,133,662,4,0.466945,0.48099,39325.280704,0.064365,565,243,0
science,science,,37,109,5,0.46831,0.478904,4510.784924,0.261261,174,142,0
partner,partner,,19,62,5,0.460643,0.472516,93.222237,0.298246,51,243,0
menloparkcaunitedstates,menloparkcaunitedstates,,51,270,4,0.463308,0.475579,893.91583,0.156078,199,243,0
cruz,cruz,,29,269,5,0.464486,0.475798,9834.306811,0.256158,104,217,0
messenger,messenger,,80,314,4,0.470426,0.481934,6410.448468,0.11519,364,217,0
bot,bot,,4,7,5,0.459748,0.47134,0,1,6,217,0
dev,dev,,4,4,5,0.459748,0.47134,0,1,6,217,0
ia,ia,,6,21,5,0.459931,0.471548,5.847556,0.666667,10,217,0
russian,russian,,37,135,5,0.467658,0.478415,2981.163594,0.211712,141,217,0
drama,drama,,14,20,5,0.463721,0.474645,174.533759,0.602564,47,217,0
scandal,scandal,,70,319,4,0.471449,0.48231,3770.107086,0.186749,451,217,0
senate,senate,,99,680,4,0.472154,0.483759,33112.688149,0.145331,705,217,0
readyplayerone,readyplayerone,,2,2,5,0.459728,0.47126,0,1,1,254,0
vr,vr,,13,38,5,0.460888,0.472508,1917.886726,0.333333,26,254,0
schuldensuehner,schuldensuehner,,2,2,5,0.462218,0.473173,0,1,1,217,0
bigtechcensorship,bigtechcensorship,,1,4,1,1,1,0,0,0,4,1
siliconvalleycensorship,siliconvalleycensorship,,1,4,1,1,1,0,0,0,4,1
free,free,,165,1075,4,0.473679,0.486937,129368.514017,0.064866,867,143,0
reading,reading,,3,3,5,0.328994,0.333618,10410,0.333333,1,143,0
business,business,,285,1464,4,0.483446,0.497863,141389.957681,0.06017,2418,217,0
thenews,thenews,,2,2,5,0.462218,0.473173,0,1,1,217,0
monopoly,monopoly,,31,148,4,0.467868,0.478372,587.782124,0.354839,165,217,0
rgpd,rgpd,,5,5,5,0.462691,0.473621,591.050103,0.9,9,217,0
datamining,datamining,,41,401,4,0.469577,0.479973,5845.348744,0.32561,267,193,0
live,live,,158,591,4,0.475388,0.487985,62371.708664,0.058713,719,131,0
consequences,consequences,,5,10,5,0.460786,0.472188,0,1,10,217,0
thoughts,thoughts,,8,15,5,0.462937,0.473933,38.1142,0.75,21,217,0
actions,actions,,5,10,5,0.460786,0.472188,0,1,10,217,0
like,like,,143,653,5,0.474824,0.48714,69321.723139,0.076825,780,1,0
goth,goth,,17,128,5,0.461685,0.473261,66.622016,0.544118,74,1,0
punk,punk,,10,110,5,0.460623,0.47222,9.513177,0.755556,34,1,0
heavymetal,heavymetal,,6,86,5,0.460236,0.471788,0,1,15,1,0
rockabilly,rockabilly,,7,98,5,0.460317,0.471884,0.595238,0.952381,20,1,0
ecoutez,ecoutez,,10,300,5,0.460888,0.472412,0,1,45,1,0
webradio,webradio,,10,300,5,0.460888,0.472412,0,1,45,1,0
radiocapitole,radiocapitole,,10,300,5,0.460888,0.472412,0,1,45,1,0
unique,unique,,10,300,5,0.460888,0.472412,0,1,45,1,0
info,info,,28,331,5,0.466673,0.477383,1005.952537,0.312169,118,1,0
actu,actu,,10,300,5,0.460888,0.472412,0,1,45,1,0
médias,médias,,10,300,5,0.460888,0.472412,0,1,45,1,0
faitsdivers,faitsdivers,,10,300,5,0.460888,0.472412,0,1,45,1,0
justice,justice,,27,486,5,0.464694,0.475878,9897.799393,0.330484,116,1,0
thestorm,thestorm,,40,326,5,0.46661,0.477743,10706.148713,0.348718,272,217,0
wednesdaywisdom,wednesdaywisdom,,105,689,4,0.475301,0.486297,54118.134304,0.133333,728,217,0
facebookscandal,facebookscandal,,14,68,5,0.465921,0.476406,143.317527,0.615385,56,217,0
breaking,breaking,,71,673,4,0.474284,0.484416,4594.4675,0.222535,553,217,0
rebekahmercer,rebekahmercer,,5,117,5,0.460195,0.471716,2.703571,0.8,8,217,0
zukerberg,zukerberg,,44,214,4,0.467952,0.478844,7052.796365,0.27167,257,217,0
archiv,archiv,,1,9,5,0.459687,0.471196,0,0,0,217,0
visiting,visiting,,7,8,5,0.459951,0.471588,8.766484,0.571429,12,243,0
it,it,,44,57,4,0.465608,0.477108,1390.606892,0.232558,220,217,0
silicon,silicon,,4,4,5,0.459748,0.47134,0,1,6,243,0
valley,valley,,4,4,5,0.459748,0.47134,0,1,6,243,0
r4today,r4today,,9,23,5,0.463102,0.474085,133.250843,0.555556,20,217,0
freedom,freedom,,47,143,4,0.467469,0.478564,5753.62752,0.214616,232,217,0
mlm,mlm,,29,174,5,0.464279,0.47563,451.624505,0.334975,136,217,0
nowplaying,nowplaying,,55,451,4,0.4685,0.479653,17123.282175,0.222222,330,1,0
submityourmusic,submityourmusic,,6,379,5,0.461399,0.472668,0,1,15,1,0
lka,lka,,7,28,5,0.461317,0.472668,4905.109094,0.428571,9,217,0
abuse,abuse,,4,4,5,0.460094,0.471612,0,1,6,217,0
latestupdate,latestupdate,,4,4,5,0.460094,0.471612,0,1,6,217,0
conceptmarket,conceptmarket,,4,4,5,0.460094,0.471612,0,1,6,217,0
sparks,sparks,,1,1,5,0.459687,0.471196,0,0,0,217,0
ciso,ciso,,1,2,6,0.321307,0.324857,0,0,0,217,0
cybersecurity,cybersecurity,,90,525,5,0.473399,0.484451,27261.640059,0.186017,745,217,0
networkmarketing,networkmarketing,,16,67,5,0.461174,0.472828,78.034628,0.433333,52,217,0
tool,tool,,11,72,5,0.460888,0.472452,59.307369,0.527273,29,217,0
cambridgeanalytics,cambridgeanalytics,,88,473,4,0.472197,0.483463,23070.564472,0.162487,622,217,0
fb,fb,,188,1127,4,0.479991,0.492268,59902.359568,0.085849,1493,340,0
oath,oath,,9,42,5,0.462937,0.473957,22.950215,0.583333,21,217,0
gdpr,gdpr,,149,1140,4,0.473701,0.486473,23333.511991,0.097444,1060,217,0
gdprcompliance,gdprcompliance,,8,16,5,0.462835,0.473845,10456.391265,0.535714,15,217,0
trustpilot,trustpilot,,2,6,5,0.459708,0.471244,0,1,1,2,0
backlinks,backlinks,,2,6,5,0.459708,0.471244,0,1,1,2,0
bbcamerica,bbcamerica,,5,5,5,0.460053,0.471612,0,1,10,41,0
bbcworld,bbcworld,,7,8,5,0.460094,0.471708,8.578571,0.619048,13,41,0
cnn,cnn,,98,677,4,0.47383,0.484896,36975.220653,0.150558,701,41,0
pbsnewshour,pbsnewshour,,5,5,5,0.460053,0.471612,0,1,10,41,0
blockchain,blockchain,,85,1201,4,0.471001,0.482438,48546.079608,0.149168,520,262,0
batonrouge,batonrouge,,2,2,5,0.459748,0.471276,0,1,1,217,0
databreach,databreach,,118,981,4,0.475323,0.486721,15789.036142,0.156309,1079,217,0
senators,senators,,58,222,5,0.4677,0.479176,46206.012096,0.166969,276,217,0
flashback,flashback,,7,15,5,0.460847,0.472268,54.792974,0.333333,7,217,0
death,death,,9,13,5,0.461153,0.472604,41.53083,0.527778,19,217,0
dataleaks,dataleaks,,15,232,5,0.466234,0.476663,71.425752,0.619048,65,217,0
stuff,stuff,,10,10,5,0.460073,0.471788,0,1,45,131,0
crazy,crazy,,12,16,5,0.460114,0.471884,11.791334,0.727273,48,131,0
kenyan,kenyan,,10,10,5,0.460073,0.471788,0,1,45,131,0
lady,lady,,10,10,5,0.460073,0.471788,0,1,45,131,0
posted,posted,,10,11,5,0.460073,0.471788,0,1,45,131,0
went,went,,10,10,5,0.460073,0.471788,0,1,45,131,0
unleashed,unleashed,,10,10,5,0.460073,0.471788,0,1,45,131,0
madness,madness,,10,10,5,0.460073,0.471788,0,1,45,131,0
even,even,,15,16,5,0.460419,0.47222,40.77617,0.580952,61,131,0
tom,tom,,11,43,5,0.463391,0.474373,88.283995,0.636364,35,217,0
ai,ai,,186,2162,4,0.47977,0.492012,57624.839249,0.088719,1510,217,0
getpaid,getpaid,,5,34,5,0.46101,0.472364,0,1,10,217,0
cash,cash,,10,44,5,0.461542,0.472932,56.037893,0.577778,26,217,0
posttofacebook,posttofacebook,,5,34,5,0.46101,0.472364,0,1,10,217,0
makemoney,makemoney,,10,44,5,0.461603,0.472989,37.309702,0.533333,24,217,0
privatemessages,privatemessages,,8,22,5,0.462444,0.473581,5.387816,0.928571,26,217,0
thisisyourdigitallife,thisisyourdigitallife,,8,21,5,0.461808,0.473085,3.39837,0.892857,25,217,0
app,app,,74,357,5,0.469112,0.480753,27662.220248,0.141059,381,217,0
facebooksayssorry,facebooksayssorry,,21,88,5,0.465629,0.476366,226.100503,0.519048,109,217,0
congress,congress,,292,1930,4,0.483827,0.498327,93989.308515,0.059936,2529,217,0
millenial,millenial,,2,4,5,0.459708,0.471244,0,1,1,3,0
breakfast,breakfast,,2,4,5,0.459708,0.471244,0,1,1,3,0
ethicalbrand,ethicalbrand,,4,12,6,0.316146,0.320221,0,1,6,330,0
fairtrade,fairtrade,,4,12,6,0.316146,0.320221,0,1,6,330,0
crueltyfree,crueltyfree,,4,12,6,0.316146,0.320221,0,1,6,330,0
vegan,vegan,,17,115,5,0.460541,0.47234,22717.607807,0.382353,52,330,0
organic,organic,,14,23,5,0.461706,0.473197,18710.016447,0.384615,35,330,0
safety,safety,,17,26,5,0.463226,0.474429,10919.056754,0.257353,35,143,0
lead,lead,,10,14,5,0.46046,0.472068,6173.923203,0.4,18,243,0
redmondwaunitedstates,redmondwaunitedstates,,32,158,5,0.460949,0.473173,221.345939,0.205645,102,243,0
usa,usa,,272,2116,4,0.485293,0.498775,199283.297839,0.082863,3054,45,0
snapchat,snapchat,,108,479,5,0.470532,0.482882,62491.868873,0.096054,555,217,0
washington,washington,,71,371,4,0.468436,0.480077,27099.459327,0.269215,669,45,0
twr,twr,,4,8,5,0.461501,0.472684,0,1,6,217,0
theweekendroundup,theweekendroundup,,4,8,5,0.461501,0.472684,0,1,6,217,0
facebookcovers,facebookcovers,,4,4,5,0.461337,0.472588,0,1,6,131,0
coverphoto,coverphoto,,6,7,5,0.461419,0.472716,62.847526,0.6,9,131,0
finances,finances,,3,3,5,0.327534,0.332088,0,1,3,262,0
tips,tips,,45,90,4,0.465296,0.476891,1286.155612,0.213131,211,217,0
21stcenturyfox,21stcenturyfox,,3,14,5,0.459769,0.471324,0,1,3,340,0
sky,sky,,3,14,5,0.459769,0.471324,0,1,3,340,0
rt,rt,,113,832,4,0.475953,0.486929,80628.574539,0.114704,713,217,0
ad,ad,,54,93,5,0.468584,0.479736,10405.289075,0.200559,287,217,0
world,world,,35,83,4,0.466735,0.477676,24538.207417,0.206723,123,217,0
championship,championship,,4,6,5,0.318253,0.322052,0,1,6,4,0
rkgsnooker,rkgsnooker,,4,6,5,0.318253,0.322052,0,1,6,4,0
rkg,rkg,,4,4,5,0.318253,0.322052,0,1,6,4,0
snooker,snooker,,5,5,5,0.45987,0.471468,12852.608269,0.7,7,4,0
brexit,brexit,,20,121,4,0.464611,0.475587,31967.500931,0.463158,88,217,0
anthonybagnetto,anthonybagnetto,,3,3,5,0.459951,0.471468,0,1,3,217,0
politicaldata,politicaldata,,3,3,5,0.459951,0.471468,0,1,3,217,0
masteryacademy,masteryacademy,,3,3,6,0.315227,0.319324,0,1,3,320,0
dentistry,dentistry,,3,3,6,0.315227,0.319324,0,1,3,320,0
twitterpoll,twitterpoll,,5,7,5,0.460094,0.471644,23710.817697,0.4,4,320,0
dentist,dentist,,7,7,6,0.318165,0.322254,177.830606,0.428571,9,320,0
torontorappers,torontorappers,,4,12,5,0.460766,0.472108,0,1,6,5,0
kgoon,kgoon,,4,12,5,0.460766,0.472108,0,1,6,5,0
vacation,vacation,,4,12,5,0.460766,0.472108,0,1,6,5,0
informationprivacy,informationprivacy,,2,2,5,0.459931,0.47142,0,1,1,217,0
stream,stream,,19,62,5,0.465817,0.476454,2435.472616,0.385965,66,131,0
contestalert,contestalert,,4,14,5,0.45987,0.471436,10410,0.5,3,142,0
kittybeeapp,kittybeeapp,,1,11,6,0.315017,0.319028,0,0,0,142,0
trump,trump,,307,5638,4,0.486677,0.5008,219893.994318,0.063302,2954,217,0
mercer,mercer,,6,11,4,0.46099,0.472337,14.273022,0.6,9,217,0
bannon,bannon,,12,25,4,0.462444,0.473642,4184.721657,0.727273,48,254,0
heartofadoggo,heartofadoggo,,20,212,5,0.46099,0.47282,89.281445,0.478947,91,142,0
dog,dog,,33,230,5,0.461521,0.473653,365.343642,0.268939,142,142,0
pet,pet,,25,242,5,0.463969,0.475262,10819.672687,0.363333,109,142,0
chihuahua,chihuahua,,7,35,5,0.45983,0.4715,0,1,21,142,0
pupper,pupper,,7,35,5,0.45983,0.4715,0,1,21,142,0
costume,costume,,11,40,5,0.459911,0.471692,14,0.563636,31,142,0
devil,devil,,15,55,5,0.463845,0.474854,247.162445,0.533333,56,142,0
belgium,belgium,,3,5,5,0.462403,0.473349,0,1,3,340,0
us,us,,117,519,4,0.475975,0.487145,32835.893578,0.133215,904,217,0
specialcounsel,specialcounsel,,6,17,5,0.462999,0.473869,4.669759,0.8,12,217,0
localbusiness,localbusiness,,7,26,5,0.460175,0.471772,10411,0.571429,12,131,0
windows10,windows10,,8,24,5,0.460033,0.471692,7.974675,0.642857,18,143,0
paint3d,paint3d,,3,6,5,0.459728,0.471292,0,1,3,143,0
remix3d,remix3d,,3,6,5,0.459728,0.471292,0,1,3,143,0
mirandalive,mirandalive,,1,7,5,0.459687,0.471196,0,0,0,217,0
businessmodel,businessmodel,,20,61,5,0.464134,0.475238,178.116784,0.373684,71,217,0
gafa,gafa,,7,40,5,0.460949,0.47238,6.167404,0.761905,16,217,0
4corners,4corners,,1,38,5,0.459687,0.471196,0,0,0,217,0
deletefacebook,deletefacebook,,290,3889,4,0.484007,0.498399,251032.446593,0.059616,2481,217,0
debate,debate,,5,12,5,0.459951,0.471532,3.749206,0.7,7,217,0
adhaarcard,adhaarcard,,2,2,5,0.460053,0.471516,0,1,1,217,0
bernie,bernie,,3,3,4,0.46099,0.472241,0,1,3,217,0
hillary,hillary,,48,487,4,0.467301,0.478452,15858.048545,0.161348,182,217,0
us_senate,us_senate,,4,4,5,0.460094,0.471612,0,1,6,217,0
customers,customers,,27,45,5,0.464362,0.475622,5683.118504,0.282051,99,217,0
electoral_integrity,electoral_integrity,,4,4,5,0.460094,0.471612,0,1,6,217,0
quote,quote,,30,59,5,0.468626,0.478952,9257.652647,0.252874,110,325,0
greatness,greatness,,5,10,6,0.320783,0.324493,0,1,10,325,0
passionate,passionate,,5,10,6,0.320783,0.324493,0,1,10,325,0
hardwork,hardwork,,14,29,5,0.460277,0.472076,4230.837521,0.417582,38,325,0
motivational,motivational,,17,23,5,0.460684,0.472484,9325.366353,0.308824,42,325,0
motivation,motivation,,43,77,5,0.465983,0.477391,22415.419546,0.183832,166,325,0
love,love,,134,371,5,0.47554,0.487364,162341.123144,0.083717,746,142,0
ideas,ideas,,26,54,5,0.466945,0.477575,860.530592,0.313846,102,320,0
expatideas,expatideas,,7,58,5,0.348625,0.35824,0,1,21,217,0
startup,startup,,47,142,4,0.468584,0.479413,12340.341981,0.217391,235,217,0
tech,tech,,265,1228,4,0.483019,0.496862,57210.014329,0.069708,2420,217,0
ceo,ceo,,110,535,4,0.473356,0.484984,31855.883753,0.116764,700,217,0
media,media,,132,482,4,0.478601,0.48949,33559.060465,0.127226,1100,217,0
sham,sham,,9,15,5,0.462547,0.473653,5.604512,0.833333,30,217,0
obamaadministration,obamaadministration,,4,181,4,0.46101,0.472289,0,1,6,217,0
